query,documentUrl,documentId,rootId,documentNumber,contentType,contentLength,extractionDate,path
"contentType:""application/pdf""",http://localhost:8080/#/d/local-datashare/000816cd350d01cbdc71a4e5bdb9210d48a71e95ba7d2714dc7c4c51ecbd0fbf08d9bd59dae4735e996099696ed0f41b/000816cd350d01cbdc71a4e5bdb9210d48a71e95ba7d2714dc7c4c51ecbd0fbf08d9bd59dae4735e996099696ed0f41b,000816cd350d01cbdc71a4e5bdb9210d48a71e95ba7d2714dc7c4c51ecbd0fbf08d9bd59dae4735e996099696ed0f41b,000816cd350d01cbdc71a4e5bdb9210d48a71e95ba7d2714dc7c4c51ecbd0fbf08d9bd59dae4735e996099696ed0f41b,0,application/pdf,4334997,2021-02-17T14:45:08.520+01:00,/home/pirhoo/Datashare/20CF/3375105-spanish-team/2884059-spanish-team/children/2885252-papeles-de-panama/children/2885158-historias-la-sexta/children/2885452-publicado-andorra-jordi-cinca-mateos/attachments/2885455/1/MV-1995-4470_DU_L.pdf
"contentType:""application/pdf""",http://localhost:8080/#/d/local-datashare/00483e41e37b16d21f7829c4d97cb4eaf18b0b59573082432332589b482c898450f4e4cf6e3fad05195c4dbce8fc80fb/00483e41e37b16d21f7829c4d97cb4eaf18b0b59573082432332589b482c898450f4e4cf6e3fad05195c4dbce8fc80fb,00483e41e37b16d21f7829c4d97cb4eaf18b0b59573082432332589b482c898450f4e4cf6e3fad05195c4dbce8fc80fb,00483e41e37b16d21f7829c4d97cb4eaf18b0b59573082432332589b482c898450f4e4cf6e3fad05195c4dbce8fc80fb,1,application/pdf,385558,2021-02-17T14:51:19.449+01:00,/home/pirhoo/Datashare/00MR/pg_0017.pdf
"contentType:""application/pdf""",http://localhost:8080/#/d/local-datashare/00621ac3c1378aba96cce4f7ae4604062d48bda9cdc6927c7835e464d44e8e0b079136b5f1b47cfdba3ee0b6e46a2e95/3b58a882d42818350c28302b8e68539608843786fcff2964401d34ee7df82db76abd1288d3973ba98fc46e8da6c7d44c,00621ac3c1378aba96cce4f7ae4604062d48bda9cdc6927c7835e464d44e8e0b079136b5f1b47cfdba3ee0b6e46a2e95,3b58a882d42818350c28302b8e68539608843786fcff2964401d34ee7df82db76abd1288d3973ba98fc46e8da6c7d44c,2,application/pdf,-1,2021-02-17T14:43:47.569+01:00,/home/pirhoo/Datashare/10ML/cedric.o@en-marche.fr/00000027.eml
"contentType:""application/pdf""",http://localhost:8080/#/d/local-datashare/007e2e06b9da590bb4b04470536d8992696b4df44da48d5b199f4c627c54215459611741108748709c55c53e8a3b381d/b9b94fbb58eb41bf718960d6020c73d2c231a92a4fdca7c3eba880be34af50b4406d0aed43d8e766ea2e12ba3a0c5d08,007e2e06b9da590bb4b04470536d8992696b4df44da48d5b199f4c627c54215459611741108748709c55c53e8a3b381d,b9b94fbb58eb41bf718960d6020c73d2c231a92a4fdca7c3eba880be34af50b4406d0aed43d8e766ea2e12ba3a0c5d08,3,application/pdf,-1,2021-02-17T14:44:01.155+01:00,/home/pirhoo/Datashare/10ML/cedric.o@en-marche.fr/00002198.eml
"contentType:""application/pdf""",http://localhost:8080/#/d/local-datashare/008c7e5d0e0a7016ae76a177e6885666e47d0ad88a3383a9f0f606a3d5e0828473378cb0433cb471e889155810dd4064/64b90058ba0e32cfbd50b9aac41362a1263fba868cde9ce9523be00bc140d7851d2a26f775e7d6021d44bb75c34f39f3,008c7e5d0e0a7016ae76a177e6885666e47d0ad88a3383a9f0f606a3d5e0828473378cb0433cb471e889155810dd4064,64b90058ba0e32cfbd50b9aac41362a1263fba868cde9ce9523be00bc140d7851d2a26f775e7d6021d44bb75c34f39f3,4,application/pdf,-1,2021-02-17T14:44:29.644+01:00,/home/pirhoo/Datashare/10ML/cedric.o@en-marche.fr/00005032.eml
"contentType:""application/pdf""",http://localhost:8080/#/d/local-datashare/00cc052b2446576a91449b7af3f4c27fbf26599f441ad25db774e28eea213283f5fd3e2058c80e6cddc156811b3d66e6/00cc052b2446576a91449b7af3f4c27fbf26599f441ad25db774e28eea213283f5fd3e2058c80e6cddc156811b3d66e6,00cc052b2446576a91449b7af3f4c27fbf26599f441ad25db774e28eea213283f5fd3e2058c80e6cddc156811b3d66e6,00cc052b2446576a91449b7af3f4c27fbf26599f441ad25db774e28eea213283f5fd3e2058c80e6cddc156811b3d66e6,5,application/pdf,308936,2021-02-17T14:45:42.247+01:00,/home/pirhoo/Datashare/20CF/1507329-who-is-who/1474563-about-who-is-who/children/6979602-comments-letters/attachments/7440953/1/GUTIERREZ ROBAYO_Comment Request_ES_3 MAR 2016.pdf
"contentType:""application/pdf""",http://localhost:8080/#/d/local-datashare/00e579fab95eeec9aef63b55955413664c4029915fc745dc9b011ff87e25e73980b79605baad9593f10bc735121416b7/00e579fab95eeec9aef63b55955413664c4029915fc745dc9b011ff87e25e73980b79605baad9593f10bc735121416b7,00e579fab95eeec9aef63b55955413664c4029915fc745dc9b011ff87e25e73980b79605baad9593f10bc735121416b7,00e579fab95eeec9aef63b55955413664c4029915fc745dc9b011ff87e25e73980b79605baad9593f10bc735121416b7,6,application/pdf,42707,2021-02-17T14:45:41.948+01:00,/home/pirhoo/Datashare/20CF/1507329-who-is-who/1474563-about-who-is-who/children/6979602-comments-letters/attachments/7440808/1/Comment Request_Mohd Nazifuddin Mohd Najib_ICIJ.pdf
"contentType:""application/pdf""",http://localhost:8080/#/d/local-datashare/00f6682eacf41984888a9a6843cc85f31dc7a37d5f45cc8d01c1668e6f063cc9434700b3ab57cf8574c7adfb57ebc480/00f6682eacf41984888a9a6843cc85f31dc7a37d5f45cc8d01c1668e6f063cc9434700b3ab57cf8574c7adfb57ebc480,00f6682eacf41984888a9a6843cc85f31dc7a37d5f45cc8d01c1668e6f063cc9434700b3ab57cf8574c7adfb57ebc480,00f6682eacf41984888a9a6843cc85f31dc7a37d5f45cc8d01c1668e6f063cc9434700b3ab57cf8574c7adfb57ebc480,7,application/pdf,288060,2021-02-17T14:51:19.924+01:00,/home/pirhoo/Datashare/00MR/pg_0067.pdf
"contentType:""application/pdf""",http://localhost:8080/#/d/local-datashare/010d52ff4b9a5a5452b9490d0b788b6ef6ca9ca3131c27d74cef30f1f719ec83c482e42220c18fb5f4bbea1beaf4c45e/6f80ed30be558e8fd0a2f878fd782f728b1369a5bb98c5a7c801a4ec15a1397113c3b44b00a6d4a5d05d1f1e584825d3,010d52ff4b9a5a5452b9490d0b788b6ef6ca9ca3131c27d74cef30f1f719ec83c482e42220c18fb5f4bbea1beaf4c45e,6f80ed30be558e8fd0a2f878fd782f728b1369a5bb98c5a7c801a4ec15a1397113c3b44b00a6d4a5d05d1f1e584825d3,8,application/pdf,-1,2021-02-17T14:44:46.235+01:00,/home/pirhoo/Datashare/10ML/cedric.o@en-marche.fr/00001659.eml
"contentType:""application/pdf""",http://localhost:8080/#/d/local-datashare/01298e8cbce95162d6511bd2fb5a6b9eea7e4cf414a03249304050508a9c7bc455a98883223f13cc8dfe63f99e31475f/008ace52631cfae93acd2c970f53c9c9f898f13ff925e7f4ef1d6f61c2348e6d40218d6586c96ccc85f85cc37f532a28,01298e8cbce95162d6511bd2fb5a6b9eea7e4cf414a03249304050508a9c7bc455a98883223f13cc8dfe63f99e31475f,008ace52631cfae93acd2c970f53c9c9f898f13ff925e7f4ef1d6f61c2348e6d40218d6586c96ccc85f85cc37f532a28,9,application/pdf,-1,2021-02-17T14:43:47.414+01:00,/home/pirhoo/Datashare/10ML/cedric.o@en-marche.fr/00005957.eml
